Fig1,An old person doing water aerobics.,"An elderly individual is engaged in aquatic exercise. She moves both arms forward with a slight bend at the elbows, and from this stance, both elbows extend gently. Moments later, she lifts her left leg slightly while keeping it bent, then extends it forward. Her body shifts slightly upwards with each movement, maintaining a slow, rhythmic pace. The water offers resistance, causing her limbs to move more deliberately and with controlled effort."
Fig2,A fit lifeguard doing water aerobics.,"A lifeguard is actively engaged in water exercises. She moves significantly upwards, both arms rising out of the water rapidly. Just before, her elbows are slightly bent, and from this stance, they extend fully. Meanwhile, her legs push downward forcefully against the resistance of the water. Her knees bend slightly and then extend quickly, propelling her body upwards. In a coordinated motion, her left leg moves outward while her right arm sweeps inward, creating a balanced and rhythmic movement in the water."
Fig3,A person is attacked by a swarm of bees.,"The person is surrounded and assaulted by a swarm of bees. Initially, the individual's arms are at their sides. Rapidly, both arms swing wildly around, attempting to swat the bees away. A moment later, the person flinches and ducks, their head moving erratically in all directions to avoid the bees. Shortly after, their feet shuffle rapidly, causing them to stagger and stumble. The person's torso twists and turns, trying to escape the relentless swarm. The movement of the arms and legs becomes increasingly frantic as the attack continues."
Fig4,Reacting to a surprise birthday party.,"A person is in a standing posture, initially relaxed. Suddenly, their eyes widen considerably, and their mouth opens in an O-shape. A moment later, their hands move upwards swiftly to cover their mouth. In the next second, their shoulders lift slightly, and their entire body shifts backwards a little in surprise. Following this, they step forward briskly, extending both arms outwards enthusiastically towards the group."
33,You are hanging clothes on the line but the wind keeps blowing them away.,"You stand near the clothesline, your right hand reaching out with a clothespin. The left hand grasps a piece of clothing, holding it against the line. As you try to clip it, a gust of wind pushes the fabric away. Your left hand quickly darts to catch it, the fingers spreading wide. Your body shifts slightly to the left, leaning in to secure the garment. The right hand, initially close to the line, moves swiftly downwards to grab another pin. A moment later, the wind flutters the cloth again, and you repeat the motion, your hands moving in a fluid, yet determined rhythm."
34,"While painting, you get your foot stuck in the paint tin and can’t get it out.","A person is engaged in a painting action. Her foot shifts into the paint tin and becomes lodged. She attempts to pull it out, causing her body to shift slightly backward. The right leg is slightly bent, and from this position, the right knee bends significantly while she tries to free her foot. Shortly after, her arms flail slightly as she loses balance. Her body tilts forward again as she makes another attempt to dislodge the foot, causing her left leg to extend while the right knee remains bent."
35,"You are reading a book, but two pages are stuck together and you can’t get them apart.","Your eyes shift steadily over the text, scanning each line methodically. A moment later, your fingers move towards the edge of the stuck pages, attempting to separate them. Right after, your thumb and index finger pinch together slightly, trying to get a grip. In the next second, your hand shifts subtly back and forth, applying more pressure. Your brows furrow slightly in concentration, and your wrist twists gently, yet the pages remain stubbornly together."
36,You are eating an ice cream that is melting really quickly.,"You shift your right hand upward briskly, and immediately after, tilt your head slightly backward. Moments before, your mouth opens wide, and then, your tongue extends outward quickly. In the meantime, your left hand moves upward to catch the dripping ice cream. Just before, your right elbow is slightly bent, and from this stance, it bends significantly, bringing the ice cream closer to your mouth. Simultaneously, you lean forward a little, trying to prevent the ice cream from dripping on your clothes."
37,You are brushing your hair in front of the mirror but there’s a bit of hair that won’t lay flat.,"You are in front of a mirror, holding a brush in your right hand. Your right elbow is slightly bent as you move the brush through your hair. Moments later, you notice a stubborn section of hair. Your right elbow extends slightly as you press the brush down on this section. A moment after, your right hand shifts slightly upwards, attempting to smooth it out. Your left hand comes up to assist, fingers spreading to help tame the unruly strands. Both hands work in concert, moving rhythmically as you focus on achieving a neat finish."
38,You are eating a large bowl of spaghetti.,"You are in an eating action. Your right hand, grasping a fork, moves towards the bowl. As your hand lowers, the fork twirls around a heap of spaghetti. Moments later, your right hand lifts the forkful of spaghetti. Your left hand stabilizes the bowl, fingers gently curved around its edge. Your mouth opens slightly, and your head tilts forward, bringing the fork to your lips. You then bite down and pull the spaghetti into your mouth, chewing rhythmically."
39,You are sawing a block of wood and your saw suddenly gets stuck.,"You are in a sawing motion. Your right hand moves forward quickly, then suddenly halts. In the split second before, both hands are gripping the saw handle firmly. Right after, your right arm jerks slightly as the saw stops abruptly. Moments prior, your left hand is steady on the wood block, providing balance. Then, your right hand, which was moving fluidly, abruptly stops as the saw gets stuck, causing a noticeable tension in your right shoulder."
40,You are decorating a Christmas tree,"The person is in a decorating action. They move their right hand upwards towards the tree, holding an ornament. As their hand approaches the branch, the left hand steadies the branch slightly. Moments before, both knees are slightly bent. From this position, the right hand places the ornament carefully on the branch. Shortly after, the left hand moves away from the branch and the right hand lowers back down. Meanwhile, the body leans slightly forward, adjusting the balance."
41,You are building a sand castle,"You are in a crouching position close to the ground. Your hands scoop up a large amount of sand, bringing them together. The fingers are slightly bent, and from this stance, they press downwards firmly. A moment later, your hands shift upwards quickly, releasing the sand to form a mound. Your knees are bent, supporting your body as you lean slightly forward. Each movement is deliberate and measured, as your hands repeatedly gather and shape the sand into the desired structure."
42,You are crossing monkey bars,"A person is in the midst of a hanging action. He shifts significantly upwards, then forwards, grasping the bar with his left hand. A moment later, his right hand releases the previous bar and reaches forward briskly, grabbing the next bar. Prior to this, his elbows are bent considerably, and his legs swing slightly backwards to gain momentum. Immediately after, his left hand releases the bar and extends forward quickly, securing the next bar. In the meantime, his body sways forward and backward in a rhythmic motion, while his legs remain slightly bent to maintain balance."
43,You are getting into a car and starting the engine,"The body is in an entering action. You shift considerably downwards towards the car seat. Right after, your left hand moves towards the door, grasping the handle and pulling it shut. Simultaneously, your right hand moves towards the ignition, gripping the key and turning it sharply. A moment later, your right elbow extends as you let go of the key, and your body leans slightly forward as the engine roars to life. Your feet, previously firmly on the ground, now shift inside the car, and your left hand releases the door handle, coming to rest on the steering wheel."
44,A person is attacked by a swarm of bees,"The person is surrounded and assaulted by a swarm of bees. Initially, the individual's arms are at their sides. Rapidly, both arms swing wildly around, attempting to swat the bees away. A moment later, the person flinches and ducks, their head moving erratically in all directions to avoid the bees. Shortly after, their feet shuffle rapidly, causing them to stagger and stumble. The person's torso twists and turns, trying to escape the relentless swarm. The movement of the arms and legs becomes increasingly frantic as the attack continues."
